index,soru_id,soru_metni,şıklar,doğru_şık,çözüm,alt_konular,meb_kazanım,taxonomy,soru_türü,konu,cozum_suresi,difficulty,sinif,sik_yapilan_hatalar,matematik_formulu
0,0,(2^3)^4 işleminin sonucu aşağıdakilerden hangisidir?,"['A) 2^12', 'B) 2^7', 'C) 2^64', 'D) 2^24']",A) 2^12,"Üslü ifadelerde, üsler çarpılır: (2^3)^4 = 2^(3×4) = 2^12.","['Üslü İfadeler', 'Parantezli Üs İşlemleri', 'Üs Çarpma Kuralı']",9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,Problem Çözme,Problem Çözme Sorusu,Üslü İfadeler,1 dakika,Kolay,9. sınıf,"['Üslerin yanlış çarpımı', 'Parantez kullanım hatası']",(a^b)^c = a^(b*c)
1,1,5^3 × 5^(-2) işleminin sonucu aşağıdakilerden hangisidir?,"['A) 5^1', 'B) 5^5', 'C) 5^(-6)', 'D) 5^(-1)']",A) 5^1,"Aynı tabanlı üslü sayıların çarpımında, üsler toplanır: 5^3 × 5^(-2) = 5^(3+(-2)) = 5^1 = 5.","['Üslü İfadeler', 'Üs Toplama Kuralı', 'Negatif Üs']",9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,Problem Çözme,Problem Çözme Sorusu,Üslü İfadeler,1 dakika,Kolay,9. sınıf,"['Üslerin toplama hatası', 'Negatif üslü ifadelerin yanlış yorumlanması']",a^m × a^n = a^(m+n)
2,2,2^5 / 2^3 işleminin sonucu aşağıdakilerden hangisidir?,"['A) 2^2', 'B) 2^8', 'C) 2^(-2)', 'D) 2^15']",A) 2^2,"Aynı tabanlı üslü sayıların bölünmesinde, üsler çıkarılır: 2^5 / 2^3 = 2^(5-3) = 2^2.","['Üslü İfadeler', 'Üs Çıkarma Kuralı', 'Bölme İşlemi']",9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,Problem Çözme,Problem Çözme Sorusu,Üslü İfadeler,1 dakika,Kolay,9. sınıf,"['Üs çıkarma kuralının yanlış uygulanması', 'İşlem sırası hatası']",a^m / a^n = a^(m-n)
3,3,3^(-2) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 1/9', 'B) 9', 'C) -9', 'D) -1/9']",A) 1/9,"Negatif üslü bir sayı, tabanın tersinin pozitif üssü olarak ifade edilir: 3^(-2) = 1 / 3^2 = 1/9.","['Üslü İfadeler', 'Negatif Üsler', 'Ters Çevirme İşlemi']",9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,Problem Çözme,Problem Çözme Sorusu,Üslü İfadeler,1 dakika,Kolay,9. sınıf,"['Negatif üs tanımının unutulması', 'Yanlış ters çevirme']",a^(-n) = 1/(a^n)
4,4,10^0 × 10^3 işleminin sonucu aşağıdakilerden hangisidir?,"['A) 10^3', 'B) 10^0', 'C) 10^2', 'D) 10^4']",A) 10^3,"Aynı tabanlı üslü sayıların çarpımında, üsler toplanır: 10^0 × 10^3 = 10^(0+3) = 10^3.","['Üslü İfadeler', 'Sıfırıncı Kuvvet', 'Üs Toplama Kuralı']",9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,Problem Çözme,Problem Çözme Sorusu,Üslü İfadeler,1 dakika,Kolay,9. sınıf,"['Sıfırıncı kuvvet hatası', 'Üslerin toplanmasında hata']",a^0 = 1; a^m × a^n = a^(m+n)
5,5,"P(x)=3x^4 - 2x^3 + 5x^2 - 4x + 6 polinomu için, x = 3^(m-1) olduğunda P(x) ifadesi aşağıdakilerden hangisine eşittir?","['A) 3^(4m-4) - 2⋅3^(3m-3) + 5⋅3^(2m-2) - 4⋅3^(m-1) + 6', 'B) 3^(4m-3) - 2⋅3^(3m-2) + 5⋅3^(2m-1) - 4⋅3^m + 6', 'C) 3^(4m-4) - 2⋅3^(3m-3) + 5⋅3^(2m-1) - 4⋅3^(m-1) + 6', 'D) 3^(4m-3) - 2⋅3^(3m-3) + 5⋅3^(2m-2) - 4⋅3^m + 6']",D) 3^(4m-3) - 2⋅3^(3m-3) + 5⋅3^(2m-2) - 4⋅3^m + 6,"Polinomda x yerine 3^(m-1) koyularak işlem yapılır, doğru cevap D şıkkıdır.","['Polinomlar', 'Değişken Yerine Koyma', 'Üslü İfadeler', 'Üs Dağılımı']",10.3.1.1. Bir değişkenli polinom kavramını tanımlar ve örnekler verir.,Problem Çözme,Problem Çözme Sorusu,Polinomlar ve Üslü İfadeler,2 dakika,Orta,10. sınıf,"['Üslü ifadelerin dağıtımında hata', 'Değişken yerine koyma hatası', 'Üs kurallarının yanlış uygulanması']",(a(b))^n = a^n * b^n
6,6,P(x)=2x^3 - 5x^2 + 3x - 7 polinomu veriliyor. Bu polinomun x = 2^k için değerini hesaplayınız.,"['A) 3^(4m-4) - 2⋅3^(3m-3) + 5⋅3^(2m-2) - 4⋅3^(m-1) + 6', 'B) 3^(4m-3) - 2⋅3^(3m-2) + 5⋅3^(2m-1) - 4⋅3^m + 6', 'C) 3^(4m-4) - 2⋅3^(3m-3) + 5⋅3^(2m-1) - 4⋅3^(m-1) + 6', 'D) 3^(4m-3) - 2⋅3^(3m-3) + 5⋅3^(2m-2) - 4⋅3^m + 6']",2^(3k+1) - 5 * 2^(2k) + 3 * 2^k - 7,"Polinomda x yerine 2^k koyularak işlem yapılır, sonuç: 2^(3k+1) - 5 * 2^(2k) + 3 * 2^k - 7.","['Polinomlar', 'Değişken Yerine Koyma', 'Üslü İfadeler', 'Üs Dağılımı']",10.3.1.1. Bir değişkenli polinom kavramını tanımlar ve örnekler verir.,Problem Çözme,Problem Çözme Sorusu,Polinomlar ve Üslü İfadeler,2 dakika,Orta,10. sınıf,"['Değişken yerine koyma hatası', 'Üs kurallarının yanlış uygulanması', 'Çarpanların yanlış dağıtılması']",(2^k)^n = 2^(n*k)
12,12,P(x)= x^3 - 3x^2 - 4x + 12 polinomu aşağıdakilerden hangisine tam bölünür?,"['A) x-2', 'B) x+3', 'C) x-4', 'D) x+2']",A) x-2,Bir polinomun x-a ifadesine tam bölünebilmesi için P(a)=0 olmalıdır. P(2)=2^3 - 3(2^2) - 4(2) + 12 = 0 olduğundan doğru cevap A) x-2'dir.,"['Polinomlar', 'Çarpanlara Ayırma', 'Kalan Teoremi']",10.3.2.1. Polinomları çarpanlara ayırma yöntemlerini kullanır.,Problem Çözme,Problem Çözme Sorusu,Polinomlar,2 dakika,Orta,10. sınıf,"['Tam bölünebilme koşulunun unutulması', 'P(2) hesaplamasında hata']",P(a)=0 ⇒ x - a is a factor (a = 2)
13,13,x^2 + 5x + 6 ifadesinin çarpanlara ayrılmış hali aşağıdakilerden hangisidir?,"['A) (x+2)(x+3)', 'B) (x-2)(x-3)', 'C) (x+1)(x+6)', 'D) (x-1)(x-6)']",A) (x+2)(x+3),"Çarpımları 6, toplamları 5 olan iki sayı 2 ve 3'tür. Dolayısıyla, x^2 + 5x + 6 = (x+2)(x+3). Doğru cevap A).","['Polinomlar', 'Çarpanlara Ayırma', 'İkinci Dereceden Polinomlar']",10.3.2.1. Polinomları çarpanlara ayırma yöntemlerini kullanır.,Problem Çözme,Problem Çözme Sorusu,Polinomlar,1 dakika,Kolay,10. sınıf,['Çarpanlara ayırma işleminin yanlış uygulanması'],x^2 + 5x + 6 = (x+2)(x+3)
14,14,x^2 - 9 ifadesinin çarpanlara ayrılmış hali aşağıdakilerden hangisidir?,"['A) (x-3)^2', 'B) (x+3)^2', 'C) (x-3)(x+3)', 'D) (x-9)(x+1)']",C) (x-3)(x+3),İki kare farkı: x^2 - 9 = (x-3)(x+3). Doğru cevap C).,"['Polinomlar', 'Çarpanlara Ayırma', 'İki Kare Farkı']",10.3.2.1. Polinomları çarpanlara ayırma yöntemlerini kullanır.,Problem Çözme,Problem Çözme Sorusu,Polinomlar,1 dakika,Kolay,10. sınıf,['İki kare farkı formülünün unutulması'],a^2 - b^2 = (a - b)(a + b)
